Bag,ztop,Age,Deuterium,Temperature
827.0,454.3,16161.6318,-422.6,-6.22
828.0,454.85,16195.9795,-429.8,-7.41
829.0,455.4,16230.9004,-423.9,-6.44
830.0,455.95,16265.7949,-421.9,-6.12
831.0,456.5,16299.1855,-425.8,-6.76
832.0,457.05,16333.9238,-426.0,-6.79
833.0,457.6,16368.9844,-425.7,-6.75
834.0,458.15,16404.127,-426.4,-6.86
835.0,458.7,16440.2832,-434.2,-8.15
836.0,459.25,16478.1836,-427.5,-7.05
837.0,459.8,16515.8105,-429.9,-7.44
838.0,460.35,16552.6055,-428.1,-7.15
839.0,460.9,16589.1406,-426.1,-6.82
840.0,461.45,16626.293,-438.3,-8.83
841.0,462.0,16665.4121,-429.4,-7.37
842.0,462.55,16705.0781,-434.5,-8.21
843.0,463.1,16744.416,-433.9,-8.11
844.0,463.65,16784.4961,-434.6,-8.23
845.0,464.2,16825.2012,-439.3,-9.0
846.0,464.75,16867.3789,-431.6,-7.74
847.0,465.3,16907.0547,-432.0,-7.8
848.0,465.85,16946.5059,-435.5,-8.38
849.0,466.4,16986.0293,-429.4,-7.38
850.0,466.95,17024.6406,-437.2,-8.66
851.0,467.5,17066.1973,-429.5,-7.4
852.0,468.05,17105.4863,-441.5,-9.37
853.0,468.6,17148.0977,-436.2,-8.5
854.0,469.15,17190.4863,-435.6,-8.4
855.0,469.7,17232.6211,-439.9,-9.11
856.0,470.25,17275.2285,-435.5,-8.39
857.0,470.8,17317.6758,-439.7,-9.08
858.0,471.35,17361.4199,-442.5,-9.54
859.0,471.9,17407.1738,-442.1,-9.47
860.0,472.45,17452.9473,-442.1,-9.47
861.0,473.0,17498.7051,-443.5,-9.7
862.0,473.55,17545.2012,-433.9,-8.13
863.0,474.1,17586.3848,-439.0,-8.97
864.0,474.65,17630.1895,-443.7,-9.74
865.0,475.2,17675.6816,-438.6,-8.9
866.0,475.75,17719.9141,-438.4,-8.87
867.0,476.3,17764.0391,-442.5,-9.54
868.0,476.85,17809.8027,-444.2,-9.82
869.0,477.4,17856.7402,-443.1,-9.64
870.0,477.95,17903.1504,-440.5,-9.21
871.0,478.5,17948.5273,-440.7,-9.25
872.0,479.05,17993.2168,-438.8,-8.94
873.0,479.6,18037.4648,-440.3,-9.18
874.0,480.15,18082.2305,-441.9,-9.45
875.0,480.7,18128.0039,-441.7,-9.41
876.0,481.25,18173.834,-441.4,-9.36
877.0,481.8,18219.4805,-442.3,-9.51
878.0,482.35,18265.7422,-441.6,-9.4
879.0,482.9,18311.7812,-447.4,-10.35
880.0,483.45,18361.4863,-437.2,-8.67
881.0,484.0,18404.7891,-440.8,-9.26
882.0,484.55,18449.3281,-436.5,-8.56
883.0,485.1,18493.4316,-444.8,-9.92
884.0,485.65,18539.7207,-440.5,-9.21
885.0,486.2,18585.959,-442.9,-9.61
886.0,486.75,18632.1836,-441.4,-9.36
887.0,487.3,18677.9102,-439.3,-9.02
888.0,487.85,18723.4492,-443.4,-9.69
889.0,488.4,18769.0117,-438.2,-8.84
890.0,488.95,18815.0078,-446.0,-10.12
891.0,489.5,18862.0254,-441.3,-9.34
892.0,490.05,18907.8262,-435.8,-8.44
893.0,490.6,18952.5684,-447.9,-10.43
894.0,491.15,19001.1602,-444.6,-9.89
895.0,491.7,19048.7832,-436.3,-8.52
896.0,492.25,19093.1367,-442.5,-9.54
897.0,492.8,19139.2227,-441.3,-9.34
898.0,493.35,19184.8809,-432.0,-7.81
899.0,493.9,19225.7441,-442.6,-9.55
900.0,494.45,19271.8945,-438.7,-8.91
901.0,495.0,19317.1797,-445.1,-9.96
902.0,495.55,19364.7051,-440.2,-9.16
903.0,496.1,19411.0977,-443.8,-9.75
904.0,496.65,19458.4141,-443.0,-9.62
905.0,497.2,19506.418,-446.5,-10.19
906.0,497.75,19555.1719,-441.5,-9.37
907.0,498.3,19602.9258,-446.5,-10.19
908.0,498.85,19652.002,-444.9,-9.93
909.0,499.4,19700.2168,-438.9,-8.94
