Depth (m),del18O,Age (yrs BP),temperature
278.3,-34.92,1128.2,-31.67
278.85,-34.97,1130.8,-31.75
279.4,-34.14,1133.4,-30.51
279.95,-34.62,1135.9,-31.22
280.5,-33.8,1138.5,-30.0
281.05,-35.17,1140.9,-32.04
281.6,-36.93,1143.6,-34.67
282.15,-35.51,1146.8,-32.55
282.7,-35.65,1149.5,-32.76
283.25,-36.19,1152.3,-33.57
283.8,-35.13,1155.3,-31.99
284.35,-33.72,1157.9,-29.88
284.9,-36.44,1160.4,-33.94
285.45,-33.9,1163.4,-30.15
286.0,-34.61,1165.9,-31.21
286.55,-34.46,1168.4,-30.99
287.1,-35.21,1171.0,-32.1
287.65,-35.38,1173.7,-32.36
288.2,-36.76,1176.4,-34.42
288.75,-33.8,1179.5,-30.0
289.3,-34.2,1182.0,-30.6
289.85,-35.48,1184.5,-32.51
290.4,-34.26,1187.3,-30.69
290.95,-34.94,1189.8,-31.7
291.5,-33.76,1192.4,-29.94
292.05,-33.17,1194.9,-29.06
292.6,-34.38,1197.3,-30.87
293.15,-35.04,1199.8,-31.85
293.7,-33.99,1202.5,-30.28
294.25,-34.55,1205.0,-31.12
294.8,-33.53,1207.6,-29.6
295.35,-34.16,1210.0,-30.54
295.9,-34.38,1212.5,-30.87
296.45,-35.35,1215.1,-32.31
297.0,-36.25,1217.8,-33.66
297.55,-34.22,1220.8,-30.63
298.1,-34.79,1223.3,-31.48
298.65,-34.66,1225.9,-31.28
299.2,-34.61,1228.5,-31.21
299.75,-35.04,1231.1,-31.85
300.3,-34.91,1233.8,-31.66
300.85,-34.21,1236.4,-30.61
301.4,-33.64,1239.0,-29.76
301.95,-34.18,1241.4,-30.57
302.5,-34.26,1244.0,-30.69
303.05,-35.86,1246.5,-33.07
303.6,-35.33,1249.4,-32.28
304.15,-35.57,1252.1,-32.64
304.7,-36.011,1254.9,-33.3
305.25,-35.37,1257.8,-32.34
305.8,-35.14,1260.6,-32.0
306.35,-35.62,1263.3,-32.72
306.9,-34.4,1266.1,-30.9
307.45,-35.2,1268.7,-32.09
308.0,-34.8,1271.4,-31.49
308.55,-36.2,1274.0,-33.58
309.1,-36.09,1277.0,-33.42
309.65,-34.7,1279.9,-31.34
310.2,-34.79,1282.6,-31.48
310.75,-34.16,1285.2,-30.54
311.3,-34.91,1287.7,-31.66
311.85,-35.72,1290.4,-32.87
312.4,-34.78,1293.2,-31.46
312.95,-33.55,1295.9,-29.63
313.5,-34.66,1298.3,-31.28
314.05,-35.05,1301.0,-31.87
314.6,-35.39,1303.7,-32.37
315.15,-35.3,1306.4,-32.24
315.7,-34.69,1309.2,-31.33
316.25,-34.82,1311.8,-31.52
316.8,-34.23,1314.5,-30.64
317.35,-34.32,1317.0,-30.78
317.9,-33.99,1319.6,-30.28
318.45,-34.26,1322.1,-30.69
319.0,-36.42,1324.7,-33.91
319.55,-35.64,1327.7,-32.75
320.1,-35.8,1330.6,-32.99
320.65,-35.47,1333.4,-32.49
321.2,-35.21,1336.2,-32.1
321.75,-34.89,1339.0,-31.63
322.3,-35.89,1341.6,-33.12
